BUILDING_ID,ADDRESS_POINT_ID,ADDRESS_REFERENCE,PERSONAL_NAME,ORGANISATION_NAME,DEPARTMENT,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,BUILDING_GROUP_NAME,THOROUGHFARE,SECONDARY_THOROUGHFARE,LOCALITY,SECONDARY_LOCALITY,PRINCIPAL_POST_TOWN,COUNTY,EIRCODE,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,ADDR_LINE_5,ADDR_LINE_6,ADDR_LINE_7,ADDR_LINE_8,ADDR_LINE_9,ADDR_LINE_10,SMALL_AREA_REF,LATITUDE,LONGITUDE
61510046,NULL,6151004600000000,NULL,NULL,NULL,NULL,CURRACLOE,NULL,NULL,NULL,NULL,GELSHA,BALLINALEE,NULL,LONGFORD,N39PY90,CURRACLOE,GELSHA,BALLINALEE,CO. LONGFORD,N39PY90,NULL,NULL,NULL,NULL,NULL,137033001,53.803539081259,-7.61490727102947
61510055,NULL,6151005500000000,NULL,NULL,NULL,NULL,NULL,34,NULL,SHANTOBAR,NULL,BALLINALEE,NULL,NULL,LONGFORD,N39CC99,34 SHANTOBAR,BALLINALEE,CO. LONGFORD,N39CC99,NULL,NULL,NULL,NULL,NULL,NULL,137006001,53.7737915057166,-7.6540238555791
61510056,NULL,6151005600000000,NULL,NULL,NULL,NULL,NULL,35,NULL,SHANTOBAR,NULL,BALLINALEE,NULL,NULL,LONGFORD,N39DT86,35 SHANTOBAR,BALLINALEE,CO. LONGFORD,N39DT86,NULL,NULL,NULL,NULL,NULL,NULL,137006001,53.7738310338064,-7.65390457555494
61510709,NULL,6151070900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DRINAN,BALLYMAHON,NULL,LONGFORD,N39WK11,DRINAN,BALLYMAHON,CO. LONGFORD,N39WK11,NULL,NULL,NULL,NULL,NULL,NULL,137009004,53.5775180733012,-7.77318296329207
61510710,NULL,6151071000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TERELICKEN,BALLYMAHON,NULL,LONGFORD,N39XY31,TERELICKEN,BALLYMAHON,CO. LONGFORD,N39XY31,NULL,NULL,NULL,NULL,NULL,NULL,137009003,53.5876409200583,-7.79713202698562
61510711,NULL,6151071100000000,NULL,NULL,NULL,NULL,STONE COTTAGE,55,NULL,THOMOND HALL RETIREMENT VILLAGE,THOMOND HALL,BALLYMAHON,NULL,NULL,LONGFORD,N39DP46,STONE COTTAGE,55 THOMOND HALL RETIREMENT VILLAGE,THOMOND HALL,BALLYMAHON,CO. LONGFORD,N39DP46,NULL,NULL,NULL,NULL,137009008,53.5580197956416,-7.77415509548657
61510712,NULL,6151071200000000,NULL,NULL,NULL,NULL,STONE COTTAGE,60,NULL,THOMOND HALL RETIREMENT VILLAGE,THOMOND HALL,BALLYMAHON,NULL,NULL,LONGFORD,N39RX46,STONE COTTAGE,60 THOMOND HALL RETIREMENT VILLAGE,THOMOND HALL,BALLYMAHON,CO. LONGFORD,N39RX46,NULL,NULL,NULL,NULL,137009008,53.5582520932032,-7.77368913878907
61510827,NULL,6151082700000000,NULL,NULL,NULL,NULL,CASTLECORE HOUSE,NULL,NULL,NULL,NULL,CASTLECORE,BALLYMAHON,NULL,LONGFORD,N39A023,CASTLECORE HOUSE,CASTLECORE,BALLYMAHON,CO. LONGFORD,N39A023,NULL,NULL,NULL,NULL,NULL,137009001,53.5637005338219,-7.79356281080418
61510828,NULL,6151082800000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAROGUE,BALLYMAHON,NULL,LONGFORD,N39TW88,DAROGUE,BALLYMAHON,CO. LONGFORD,N39TW88,NULL,NULL,NULL,NULL,NULL,NULL,137009001,53.5603699073432,-7.80421191942483
61510829,NULL,6151082900000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAROGUE,BALLYMAHON,NULL,LONGFORD,N39WV05,DAROGUE,BALLYMAHON,CO. LONGFORD,N39WV05,NULL,NULL,NULL,NULL,NULL,NULL,137009001,53.5596562178735,-7.80293406397774
61510830,NULL,6151083000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BALLYMULVEY,BALLYMAHON,NULL,LONGFORD,N39XH34,BALLYMULVEY,BALLYMAHON,CO. LONGFORD,N39XH34,NULL,NULL,NULL,NULL,NULL,NULL,137009002,53.5640157971079,-7.75675112174522
61510831,NULL,6151083100000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CLONCULLEN,BALLYMAHON,NULL,LONGFORD,N39V562,CLONCULLEN,BALLYMAHON,CO. LONGFORD,N39V562,NULL,NULL,NULL,NULL,NULL,NULL,137031001,53.5349324466554,-7.7219237361064
61527373,NULL,6152737300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CULRAY,AUGHNACLIFFE,NULL,LONGFORD,N39DP99,CULRAY,AUGHNACLIFFE,CO. LONGFORD,N39DP99,NULL,NULL,NULL,NULL,NULL,NULL,137055001,53.8142743161406,-7.57721071094319
